sequence	number 	id 	treatment_1	treatment_2	treat	day	collection_date	days_since_collection	date	queen	eggs	larva	pupae	adults	active	position	measurement_y2	weight_queen	weight_20adults	final	virus_feeding	year	survivial 
930	30	L10V	low	virus	4	19	30.06.2016	61	30.08.2016	1	89	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
931	31	L11C	low	control	3	19	30.06.2016	61	30.08.2016	1	82	2	0	0	NA	NA	NA	NA	NA	no	no	1	1
932	32	L12V	low	virus	4	19	30.06.2016	61	30.08.2016	1	78	1	0	0	NA	NA	NA	NA	NA	no	no	1	1
933	33	L13V	low	virus	4	19	30.06.2016	61	30.08.2016	1	85	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
934	34	L14C	low	control	3	19	30.06.2016	61	30.08.2016	1	93	2	0	0	NA	NA	NA	NA	NA	no	no	1	0
935	35	L15V	low	virus	4	19	30.06.2016	61	30.08.2016	1	92	1	0	0	NA	NA	NA	NA	NA	no	no	1	1
936	36	L16V	low	virus	4	19	30.06.2016	61	30.08.2016	1	83	1	0	0	NA	NA	NA	NA	NA	no	no	1	1
937	37	L17C	low	control	3	19	30.06.2016	61	30.08.2016	1	105	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
938	38	L18C	low	control	3	19	30.06.2016	61	30.08.2016	1	85	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
939	39	L19C	low	control	3	19	30.06.2016	61	30.08.2016	1	81	3	0	0	NA	NA	NA	NA	NA	no	no	1	1
940	40	L20V	low	virus	4	19	30.06.2016	61	30.08.2016	1	54	9	0	0	NA	NA	NA	NA	NA	no	no	1	1
941	41	H1V	high	virus	6	19	30.06.2016	61	30.08.2016	1	77	2	0	0	NA	NA	NA	NA	NA	no	no	1	1
942	42	H2C	high	control	5	19	30.06.2016	61	30.08.2016	1	70	4	0	0	NA	NA	NA	NA	NA	no	no	1	1
943	43	H3V	high	virus	6	19	30.06.2016	61	30.08.2016	1	80	3	0	0	NA	NA	NA	NA	NA	no	no	1	1
944	44	H4C	high	control	5	19	30.06.2016	61	30.08.2016	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	no	no	1	0
945	45	H5V	high	virus	6	19	30.06.2016	61	30.08.2016	1	89	3	0	0	NA	NA	NA	NA	NA	no	no	1	1
946	46	H6C	high	control	5	19	30.06.2016	61	30.08.2016	1	94	1	0	0	NA	NA	NA	NA	NA	no	no	1	1
947	47	H7C	high	control	5	19	30.06.2016	61	30.08.2016	1	69	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
948	48	H8V	high	virus	6	19	30.06.2016	61	30.08.2016	1	75	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
949	49	H9V	high	virus	6	19	30.06.2016	61	30.08.2016	1	78	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
950	50	H10C	high	control	5	19	30.06.2016	61	30.08.2016	1	77	3	0	0	NA	NA	NA	NA	NA	no	no	1	1
951	51	H11V	high	virus	6	19	30.06.2016	61	30.08.2016	1	0	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
952	52	H12C	high	control	5	19	30.06.2016	61	30.08.2016	1	63	1	0	0	NA	NA	NA	NA	NA	no	no	1	1
953	53	H13V	high	virus	6	19	30.06.2016	61	30.08.2016	1	82	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
954	54	H14C	high	control	5	19	30.06.2016	61	30.08.2016	1	70	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
955	55	H15V	high	virus	6	19	30.06.2016	61	30.08.2016	1	73	5	0	0	NA	NA	NA	NA	NA	no	no	1	1
956	56	H16C	high	control	5	19	30.06.2016	61	30.08.2016	1	76	6	0	0	NA	NA	NA	NA	NA	no	no	1	1
957	57	H17V	high	virus	6	19	30.06.2016	61	30.08.2016	1	81	6	0	0	NA	NA	NA	NA	NA	no	no	1	1
958	58	H18V	high	virus	6	19	30.06.2016	61	30.08.2016	1	0	1	0	0	NA	NA	NA	NA	NA	no	no	1	0
959	59	H19C	high	control	5	19	30.06.2016	61	30.08.2016	1	83	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
960	60	H20C	high	control	5	19	30.06.2016	61	30.08.2016	1	62	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
961	1	C1V	control	virus	2	20	30.06.2016	62	31.08.2016	1	76	5	0	0	NA	NA	NA	NA	NA	no	no	1	1
962	2	C2C	control	control	1	20	30.06.2016	62	31.08.2016	1	78	17	0	0	NA	NA	NA	NA	NA	no	no	1	1
963	3	C3C	control	control	1	20	30.06.2016	62	31.08.2016	1	72	1	0	0	NA	NA	NA	NA	NA	no	no	1	1
964	4	C4V	control	virus	2	20	30.06.2016	62	31.08.2016	1	48	5	0	0	NA	NA	NA	NA	NA	no	no	1	1
965	5	C5V	control	virus	2	20	30.06.2016	62	31.08.2016	1	74	4	0	0	NA	NA	NA	NA	NA	no	no	1	1
966	6	C6C	control	control	1	20	30.06.2016	62	31.08.2016	1	79	1	0	0	NA	NA	NA	NA	NA	no	no	1	1
967	7	C7C	control	control	1	20	30.06.2016	62	31.08.2016	1	80	5	0	0	NA	NA	NA	NA	NA	no	no	1	1
968	8	C8V	control	virus	2	20	30.06.2016	62	31.08.2016	1	94	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
969	9	C9C	control	control	1	20	30.06.2016	62	31.08.2016	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	no	no	1	0
970	10	C10C	control	control	1	20	30.06.2016	62	31.08.2016	1	88	11	0	0	NA	NA	NA	NA	NA	no	no	1	1
971	11	C11V	control	virus	2	20	30.06.2016	62	31.08.2016	1	79	7	0	0	NA	NA	NA	NA	NA	no	no	1	1
972	12	C12C	control	control	1	20	30.06.2016	62	31.08.2016	1	87	7	0	0	NA	NA	NA	NA	NA	no	no	1	0
973	13	C13V	control	virus	2	20	30.06.2016	62	31.08.2016	1	64	12	0	0	NA	NA	NA	NA	NA	no	no	1	1
974	14	C14C	control	control	1	20	30.06.2016	62	31.08.2016	1	78	3	0	0	NA	NA	NA	NA	NA	no	no	1	1
975	15	C15V	control	virus	2	20	30.06.2016	62	31.08.2016	1	89	6	0	0	NA	NA	NA	NA	NA	no	no	1	0
976	16	C16V	control	virus	2	20	30.06.2016	62	31.08.2016	1	34	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
977	17	C17V	control	virus	2	20	30.06.2016	62	31.08.2016	1	94	7	0	0	NA	NA	NA	NA	NA	no	no	1	1
978	18	C18V	control	virus	2	20	30.06.2016	62	31.08.2016	1	82	6	0	0	NA	NA	NA	NA	NA	no	no	1	1
979	19	C19C	control	control	1	20	30.06.2016	62	31.08.2016	1	72	2	0	0	NA	NA	NA	NA	NA	no	no	1	1
980	20	C20C	control	control	1	20	30.06.2016	62	31.08.2016	1	90	5	0	0	NA	NA	NA	NA	NA	no	no	1	1
981	21	L1V	low	virus	4	20	30.06.2016	62	31.08.2016	1	66	6	0	0	NA	NA	NA	NA	NA	no	no	1	1
982	22	L2V	low	virus	4	20	30.06.2016	62	31.08.2016	1	88	15	0	0	NA	NA	NA	NA	NA	no	no	1	1
983	23	L3C	low	control	3	20	30.06.2016	62	31.08.2016	1	108	13	0	0	NA	NA	NA	NA	NA	no	no	1	0
984	24	L4C	low	control	3	20	30.06.2016	62	31.08.2016	1	87	10	0	0	NA	NA	NA	NA	NA	no	no	1	1
985	25	L5V	low	virus	4	20	30.06.2016	62	31.08.2016	1	74	6	0	0	NA	NA	NA	NA	NA	no	no	1	1
986	26	L6C	low	control	3	20	30.06.2016	62	31.08.2016	1	49	18	0	0	NA	NA	NA	NA	NA	no	no	1	1
987	27	L7C	low	control	3	20	30.06.2016	62	31.08.2016	1	83	4	0	0	NA	NA	NA	NA	NA	no	no	1	1
988	28	L8C	low	control	3	20	30.06.2016	62	31.08.2016	1	67	2	0	0	NA	NA	NA	NA	NA	no	no	1	1
989	29	L9V	low	virus	4	20	30.06.2016	62	31.08.2016	1	82	1	0	0	NA	NA	NA	NA	NA	no	no	1	1
990	30	L10V	low	virus	4	20	30.06.2016	62	31.08.2016	1	87	2	0	0	NA	NA	NA	NA	NA	no	no	1	0
991	31	L11C	low	control	3	20	30.06.2016	62	31.08.2016	1	80	3	0	0	NA	NA	NA	NA	NA	no	no	1	1
992	32	L12V	low	virus	4	20	30.06.2016	62	31.08.2016	1	68	11	0	0	NA	NA	NA	NA	NA	no	no	1	1
993	33	L13V	low	virus	4	20	30.06.2016	62	31.08.2016	1	89	9	0	0	NA	NA	NA	NA	NA	no	no	1	1
994	34	L14C	low	control	3	20	30.06.2016	62	31.08.2016	1	86	7	0	0	NA	NA	NA	NA	NA	no	no	1	0
995	35	L15V	low	virus	4	20	30.06.2016	62	31.08.2016	1	97	5	0	0	NA	NA	NA	NA	NA	no	no	1	1
996	36	L16V	low	virus	4	20	30.06.2016	62	31.08.2016	1	96	10	0	0	NA	NA	NA	NA	NA	no	no	1	1
997	37	L17C	low	control	3	20	30.06.2016	62	31.08.2016	1	110	2	0	0	NA	NA	NA	NA	NA	no	no	1	1
998	38	L18C	low	control	3	20	30.06.2016	62	31.08.2016	1	75	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
999	39	L19C	low	control	3	20	30.06.2016	62	31.08.2016	1	86	7	0	0	NA	NA	NA	NA	NA	no	no	1	1
1000	40	L20V	low	virus	4	20	30.06.2016	62	31.08.2016	1	51	16	0	0	NA	NA	NA	NA	NA	no	no	1	1
1001	41	H1V	high	virus	6	20	30.06.2016	62	31.08.2016	1	74	5	0	0	NA	NA	NA	NA	NA	no	no	1	1
1002	42	H2C	high	control	5	20	30.06.2016	62	31.08.2016	1	72	8	0	0	NA	NA	NA	NA	NA	no	no	1	1
1003	43	H3V	high	virus	6	20	30.06.2016	62	31.08.2016	1	78	7	0	0	NA	NA	NA	NA	NA	no	no	1	1
1004	44	H4C	high	control	5	20	30.06.2016	62	31.08.2016	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	no	no	1	0
1005	45	H5V	high	virus	6	20	30.06.2016	62	31.08.2016	1	87	5	0	0	NA	NA	NA	NA	NA	no	no	1	1
1006	46	H6C	high	control	5	20	30.06.2016	62	31.08.2016	1	105	18	0	0	NA	NA	NA	NA	NA	no	no	1	1
1007	47	H7C	high	control	5	20	30.06.2016	62	31.08.2016	1	89	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
1008	48	H8V	high	virus	6	20	30.06.2016	62	31.08.2016	1	92	2	0	0	NA	NA	NA	NA	NA	no	no	1	1
1009	49	H9V	high	virus	6	20	30.06.2016	62	31.08.2016	1	105	10	0	0	NA	NA	NA	NA	NA	no	no	1	1
1010	50	H10C	high	control	5	20	30.06.2016	62	31.08.2016	1	74	7	0	0	NA	NA	NA	NA	NA	no	no	1	1
1011	51	H11V	high	virus	6	20	30.06.2016	62	31.08.2016	1	0	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
1012	52	H12C	high	control	5	20	30.06.2016	62	31.08.2016	1	71	2	0	0	NA	NA	NA	NA	NA	no	no	1	1
1013	53	H13V	high	virus	6	20	30.06.2016	62	31.08.2016	1	84	8	0	0	NA	NA	NA	NA	NA	no	no	1	1
1014	54	H14C	high	control	5	20	30.06.2016	62	31.08.2016	1	85	4	0	0	NA	NA	NA	NA	NA	no	no	1	1
1015	55	H15V	high	virus	6	20	30.06.2016	62	31.08.2016	1	67	13	0	0	NA	NA	NA	NA	NA	no	no	1	1
1016	56	H16C	high	control	5	20	30.06.2016	62	31.08.2016	1	83	9	0	0	NA	NA	NA	NA	NA	no	no	1	1
1017	57	H17V	high	virus	6	20	30.06.2016	62	31.08.2016	1	94	15	0	0	NA	NA	NA	NA	NA	no	no	1	1
1018	58	H18V	high	virus	6	20	30.06.2016	62	31.08.2016	1	0	1	0	0	NA	NA	NA	NA	NA	no	no	1	0
1019	59	H19C	high	control	5	20	30.06.2016	62	31.08.2016	1	95	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
1020	60	H20C	high	control	5	20	30.06.2016	62	31.08.2016	1	65	7	0	0	NA	NA	NA	NA	NA	no	no	1	1
1021	1	C1V	control	virus	2	22	30.06.2016	64	02.09.2016	1	74	8	0	0	NA	NA	NA	NA	NA	no	no	1	1
1022	2	C2C	control	control	1	22	30.06.2016	64	02.09.2016	1	85	17	0	0	NA	NA	NA	NA	NA	no	no	1	1
1023	3	C3C	control	control	1	22	30.06.2016	64	02.09.2016	1	68	8	0	0	NA	NA	NA	NA	NA	no	no	1	1
1024	4	C4V	control	virus	2	22	30.06.2016	64	02.09.2016	1	47	15	0	0	NA	NA	NA	NA	NA	no	no	1	1
1025	5	C5V	control	virus	2	22	30.06.2016	64	02.09.2016	1	69	11	0	0	NA	NA	NA	NA	NA	no	no	1	1
1026	6	C6C	control	control	1	22	30.06.2016	64	02.09.2016	1	67	14	0	0	NA	NA	NA	NA	NA	no	no	1	1
1027	7	C7C	control	control	1	22	30.06.2016	64	02.09.2016	1	75	11	0	0	NA	NA	NA	NA	NA	no	no	1	1
1028	8	C8V	control	virus	2	22	30.06.2016	64	02.09.2016	1	95	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
1029	9	C9C	control	control	1	22	30.06.2016	64	02.09.2016	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	no	no	1	0
1030	10	C10C	control	control	1	22	30.06.2016	64	02.09.2016	1	84	15	0	0	NA	NA	NA	NA	NA	no	no	1	1
1031	11	C11V	control	virus	2	22	30.06.2016	64	02.09.2016	1	86	19	0	0	NA	NA	NA	NA	NA	no	no	1	1
1032	12	C12C	control	control	1	22	30.06.2016	64	02.09.2016	1	77	18	0	0	NA	NA	NA	NA	NA	no	no	1	0
1033	13	C13V	control	virus	2	22	30.06.2016	64	02.09.2016	1	47	19	0	0	NA	NA	NA	NA	NA	no	no	1	1
1034	14	C14C	control	control	1	22	30.06.2016	64	02.09.2016	1	70	14	0	0	NA	NA	NA	NA	NA	no	no	1	1
1035	15	C15V	control	virus	2	22	30.06.2016	64	02.09.2016	1	83	11	0	0	NA	NA	NA	NA	NA	no	no	1	0
1036	16	C16V	control	virus	2	22	30.06.2016	64	02.09.2016	1	34	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
1037	17	C17V	control	virus	2	22	30.06.2016	64	02.09.2016	1	87	18	0	0	NA	NA	NA	NA	NA	no	no	1	1
1038	18	C18V	control	virus	2	22	30.06.2016	64	02.09.2016	1	67	21	0	0	NA	NA	NA	NA	NA	no	no	1	1
1039	19	C19C	control	control	1	22	30.06.2016	64	02.09.2016	1	68	12	0	0	NA	NA	NA	NA	NA	no	no	1	1
1040	20	C20C	control	control	1	22	30.06.2016	64	02.09.2016	1	87	17	0	0	NA	NA	NA	NA	NA	no	no	1	1
1041	21	L1V	low	virus	4	22	30.06.2016	64	02.09.2016	1	72	10	0	0	NA	NA	NA	NA	NA	no	no	1	1
1042	22	L2V	low	virus	4	22	30.06.2016	64	02.09.2016	1	76	18	0	0	NA	NA	NA	NA	NA	no	no	1	1
1043	23	L3C	low	control	3	22	30.06.2016	64	02.09.2016	1	85	13	0	0	NA	NA	NA	NA	NA	no	no	1	0
1044	24	L4C	low	control	3	22	30.06.2016	64	02.09.2016	1	69	23	0	0	NA	NA	NA	NA	NA	no	no	1	1
1045	25	L5V	low	virus	4	22	30.06.2016	64	02.09.2016	1	58	16	0	0	NA	NA	NA	NA	NA	no	no	1	1
1046	26	L6C	low	control	3	22	30.06.2016	64	02.09.2016	1	45	22	0	0	NA	NA	NA	NA	NA	no	no	1	1
1047	27	L7C	low	control	3	22	30.06.2016	64	02.09.2016	1	85	7	0	0	NA	NA	NA	NA	NA	no	no	1	1
1048	28	L8C	low	control	3	22	30.06.2016	64	02.09.2016	1	74	13	0	0	NA	NA	NA	NA	NA	no	no	1	1
1049	29	L9V	low	virus	4	22	30.06.2016	64	02.09.2016	1	73	10	0	0	NA	NA	NA	NA	NA	no	no	1	1
1050	30	L10V	low	virus	4	22	30.06.2016	64	02.09.2016	1	82	18	0	0	NA	NA	NA	NA	NA	no	no	1	0
1051	31	L11C	low	control	3	22	30.06.2016	64	02.09.2016	1	77	8	0	0	NA	NA	NA	NA	NA	no	no	1	1
1052	32	L12V	low	virus	4	22	30.06.2016	64	02.09.2016	1	63	17	0	0	NA	NA	NA	NA	NA	no	no	1	1
1053	33	L13V	low	virus	4	22	30.06.2016	64	02.09.2016	1	87	15	0	0	NA	NA	NA	NA	NA	no	no	1	1
1054	34	L14C	low	control	3	22	30.06.2016	64	02.09.2016	1	74	15	0	0	NA	NA	NA	NA	NA	no	no	1	0
1055	35	L15V	low	virus	4	22	30.06.2016	64	02.09.2016	1	95	10	0	0	NA	NA	NA	NA	NA	no	no	1	1
1056	36	L16V	low	virus	4	22	30.06.2016	64	02.09.2016	1	87	16	0	0	NA	NA	NA	NA	NA	no	no	1	1
1057	37	L17C	low	control	3	22	30.06.2016	64	02.09.2016	1	106	13	0	0	NA	NA	NA	NA	NA	no	no	1	1
1058	38	L18C	low	control	3	22	30.06.2016	64	02.09.2016	1	83	9	0	0	NA	NA	NA	NA	NA	no	no	1	1
1059	39	L19C	low	control	3	22	30.06.2016	64	02.09.2016	1	84	20	0	0	NA	NA	NA	NA	NA	no	no	1	1
1060	40	L20V	low	virus	4	22	30.06.2016	64	02.09.2016	1	61	21	0	0	NA	NA	NA	NA	NA	no	no	1	1
1061	41	H1V	high	virus	6	22	30.06.2016	64	02.09.2016	1	88	10	0	0	NA	NA	NA	NA	NA	no	no	1	1
1062	42	H2C	high	control	5	22	30.06.2016	64	02.09.2016	1	71	16	0	0	NA	NA	NA	NA	NA	no	no	1	1
1063	43	H3V	high	virus	6	22	30.06.2016	64	02.09.2016	1	73	14	0	0	NA	NA	NA	NA	NA	no	no	1	1
1064	44	H4C	high	control	5	22	30.06.2016	64	02.09.2016	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	no	no	1	0
1065	45	H5V	high	virus	6	22	30.06.2016	64	02.09.2016	1	76	17	0	0	NA	NA	NA	NA	NA	no	no	1	1
1066	46	H6C	high	control	5	22	30.06.2016	64	02.09.2016	1	108	18	0	0	NA	NA	NA	NA	NA	no	no	1	1
1067	47	H7C	high	control	5	22	30.06.2016	64	02.09.2016	1	110	7	0	0	NA	NA	NA	NA	NA	no	no	1	1
1068	48	H8V	high	virus	6	22	30.06.2016	64	02.09.2016	1	95	16	0	0	NA	NA	NA	NA	NA	no	no	1	1
1069	49	H9V	high	virus	6	22	30.06.2016	64	02.09.2016	1	114	13	0	0	NA	NA	NA	NA	NA	no	no	1	1
1070	50	H10C	high	control	5	22	30.06.2016	64	02.09.2016	1	80	17	0	0	NA	NA	NA	NA	NA	no	no	1	1
1071	51	H11V	high	virus	6	22	30.06.2016	64	02.09.2016	1	0	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
1072	52	H12C	high	control	5	22	30.06.2016	64	02.09.2016	1	83	7	0	0	NA	NA	NA	NA	NA	no	no	1	1
1073	53	H13V	high	virus	6	22	30.06.2016	64	02.09.2016	1	77	14	0	0	NA	NA	NA	NA	NA	no	no	1	1
1074	54	H14C	high	control	5	22	30.06.2016	64	02.09.2016	1	76	15	0	0	NA	NA	NA	NA	NA	no	no	1	1
1075	55	H15V	high	virus	6	22	30.06.2016	64	02.09.2016	1	82	19	0	0	NA	NA	NA	NA	NA	no	no	1	1
1076	56	H16C	high	control	5	22	30.06.2016	64	02.09.2016	1	73	16	0	0	NA	NA	NA	NA	NA	no	no	1	1
1077	57	H17V	high	virus	6	22	30.06.2016	64	02.09.2016	1	86	16	0	0	NA	NA	NA	NA	NA	no	no	1	1
1078	58	H18V	high	virus	6	22	30.06.2016	64	02.09.2016	1	0	1	0	0	NA	NA	NA	NA	NA	no	no	1	0
1079	59	H19C	high	control	5	22	30.06.2016	64	02.09.2016	1	85	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
1080	60	H20C	high	control	5	22	30.06.2016	64	02.09.2016	1	54	23	0	0	NA	NA	NA	NA	NA	no	no	1	1
1081	1	C1V	control	virus	2	23	30.06.2016	65	03.09.2016	1	64	16	0	0	NA	NA	NA	NA	NA	no	no	1	1
1082	2	C2C	control	control	1	23	30.06.2016	65	03.09.2016	1	68	17	0	0	NA	NA	NA	NA	NA	no	no	1	1
1083	3	C3C	control	control	1	23	30.06.2016	65	03.09.2016	1	66	10	0	0	NA	NA	NA	NA	NA	no	no	1	1
1084	4	C4V	control	virus	2	23	30.06.2016	65	03.09.2016	1	43	20	0	0	NA	NA	NA	NA	NA	no	no	1	1
1085	5	C5V	control	virus	2	23	30.06.2016	65	03.09.2016	1	67	14	0	0	NA	NA	NA	NA	NA	no	no	1	1
1086	6	C6C	control	control	1	23	30.06.2016	65	03.09.2016	1	63	14	0	0	NA	NA	NA	NA	NA	no	no	1	1
1087	7	C7C	control	control	1	23	30.06.2016	65	03.09.2016	1	70	16	0	0	NA	NA	NA	NA	NA	no	no	1	1
1088	8	C8V	control	virus	2	23	30.06.2016	65	03.09.2016	1	95	0	0	0	NA	NA	NA	NA	NA	no	no	1	1
1089	9	C9C	control	control	1	23	30.06.2016	65	03.09.2016	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	no	no	1	0
1090	10	C10C	control	control	1	23	30.06.2016	65	03.09.2016	1	79	18	0	0	NA	NA	NA	NA	NA	no	no	1	1
1091	11	C11V	control	virus	2	23	30.06.2016	65	03.09.2016	1	83	18	0	0	NA	NA	NA	NA	NA	no	no	1	1
1092	12	C12C	control	control	1	23	30.06.2016	65	03.09.2016	1	79	22	0	0	NA	NA	NA	NA	NA	no	no	1	0
1093	13	C13V	control	virus	2	23	30.06.2016	65	03.09.2016	1	29	19	0	0	NA	NA	NA	NA	NA	no	no	1	1
1094	14	C14C	control	control	1	23	30.06.2016	65	03.09.2016	1	62	27	0	0	NA	NA	NA	NA	NA	no	no	1	1
1095	15	C15V	control	virus	2	23	30.06.2016	65	03.09.2016	1	77	20	0	0	NA	NA	NA	NA	NA	no	no	1	0
1096	16	C16V	control	virus	2	23	30.06.2016	65	03.09.2016	1	34	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
1097	17	C17V	control	virus	2	23	30.06.2016	65	03.09.2016	1	80	22	0	0	NA	NA	NA	NA	NA	no	no	1	1
1098	18	C18V	control	virus	2	23	30.06.2016	65	03.09.2016	1	78	28	0	0	NA	NA	NA	NA	NA	no	no	1	1
1099	19	C19C	control	control	1	23	30.06.2016	65	03.09.2016	1	71	15	0	0	NA	NA	NA	NA	NA	no	no	1	1
1100	20	C20C	control	control	1	23	30.06.2016	65	03.09.2016	1	61	23	0	0	NA	NA	NA	NA	NA	no	no	1	1
1101	21	L1V	low	virus	4	23	30.06.2016	65	03.09.2016	1	74	12	0	0	NA	NA	NA	NA	NA	no	no	1	1
1102	22	L2V	low	virus	4	23	30.06.2016	65	03.09.2016	1	73	19	0	0	NA	NA	NA	NA	NA	no	no	1	1
1103	23	L3C	low	control	3	23	30.06.2016	65	03.09.2016	1	85	15	0	0	NA	NA	NA	NA	NA	no	no	1	0
1104	24	L4C	low	control	3	23	30.06.2016	65	03.09.2016	1	51	23	0	0	NA	NA	NA	NA	NA	no	no	1	1
1105	25	L5V	low	virus	4	23	30.06.2016	65	03.09.2016	1	58	18	0	0	NA	NA	NA	NA	NA	no	no	1	1
1106	26	L6C	low	control	3	23	30.06.2016	65	03.09.2016	1	42	26	0	0	NA	NA	NA	NA	NA	no	no	1	1
1107	27	L7C	low	control	3	23	30.06.2016	65	03.09.2016	1	88	13	0	0	NA	NA	NA	NA	NA	no	no	1	1
1108	28	L8C	low	control	3	23	30.06.2016	65	03.09.2016	1	69	16	0	0	NA	NA	NA	NA	NA	no	no	1	1
1109	29	L9V	low	virus	4	23	30.06.2016	65	03.09.2016	1	70	13	0	0	NA	NA	NA	NA	NA	no	no	1	1
1110	30	L10V	low	virus	4	23	30.06.2016	65	03.09.2016	1	82	23	0	0	NA	NA	NA	NA	NA	no	no	1	0
1111	31	L11C	low	control	3	23	30.06.2016	65	03.09.2016	1	72	10	0	0	NA	NA	NA	NA	NA	no	no	1	1
1112	32	L12V	low	virus	4	23	30.06.2016	65	03.09.2016	1	49	24	0	0	NA	NA	NA	NA	NA	no	no	1	1
1113	33	L13V	low	virus	4	23	30.06.2016	65	03.09.2016	1	83	17	0	0	NA	NA	NA	NA	NA	no	no	1	1
1114	34	L14C	low	control	3	23	30.06.2016	65	03.09.2016	1	68	18	0	0	NA	NA	NA	NA	NA	no	no	1	0
1115	35	L15V	low	virus	4	23	30.06.2016	65	03.09.2016	1	103	13	0	0	NA	NA	NA	NA	NA	no	no	1	1
1116	36	L16V	low	virus	4	23	30.06.2016	65	03.09.2016	1	75	22	0	0	NA	NA	NA	NA	NA	no	no	1	1
1117	37	L17C	low	control	3	23	30.06.2016	65	03.09.2016	1	112	16	0	0	NA	NA	NA	NA	NA	no	no	1	1
1118	38	L18C	low	control	3	23	30.06.2016	65	03.09.2016	1	82	9	0	0	NA	NA	NA	NA	NA	no	no	1	1
1119	39	L19C	low	control	3	23	30.06.2016	65	03.09.2016	1	84	25	0	0	NA	NA	NA	NA	NA	no	no	1	1
1120	40	L20V	low	virus	4	23	30.06.2016	65	03.09.2016	1	57	23	0	0	NA	NA	NA	NA	NA	no	no	1	1
1121	41	H1V	high	virus	6	23	30.06.2016	65	03.09.2016	1	93	13	0	0	NA	NA	NA	NA	NA	no	no	1	1
1122	42	H2C	high	control	5	23	30.06.2016	65	03.09.2016	1	69	18	0	0	NA	NA	NA	NA	NA	no	no	1	1
1123	43	H3V	high	virus	6	23	30.06.2016	65	03.09.2016	1	75	14	0	0	NA	NA	NA	NA	NA	no	no	1	1
1124	44	H4C	high	control	5	23	30.06.2016	65	03.09.2016	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	no	no	1	0
1125	45	H5V	high	virus	6	23	30.06.2016	65	03.09.2016	1	76	17	0	0	NA	NA	NA	NA	NA	no	no	1	1
1126	46	H6C	high	control	5	23	30.06.2016	65	03.09.2016	1	95	26	0	0	NA	NA	NA	NA	NA	no	no	1	1
1127	47	H7C	high	control	5	23	30.06.2016	65	03.09.2016	1	97	11	0	0	NA	NA	NA	NA	NA	no	no	1	1
1128	48	H8V	high	virus	6	23	30.06.2016	65	03.09.2016	1	93	18	0	0	NA	NA	NA	NA	NA	no	no	1	1
1129	49	H9V	high	virus	6	23	30.06.2016	65	03.09.2016	1	107	21	0	0	NA	NA	NA	NA	NA	no	no	1	1
1130	50	H10C	high	control	5	23	30.06.2016	65	03.09.2016	1	75	20	0	0	NA	NA	NA	NA	NA	no	no	1	1
1131	51	H11V	high	virus	6	23	30.06.2016	65	03.09.2016	1	0	0	0	0	NA	NA	NA	NA	NA	no	no	1	0
1132	52	H12C	high	control	5	23	30.06.2016	65	03.09.2016	1	78	10	0	0	NA	NA	NA	NA	NA	no	no	1	1
1133	53	H13V	high	virus	6	23	30.06.2016	65	03.09.2016	1	76	15	0	0	NA	NA	NA	NA	NA	no	no	1	1
1134	54	H14C	high	control	5	23	30.06.2016	65	03.09.2016	1	82	23	0	0	NA	NA	NA	NA	NA	no	no	1	1
1135	55	H15V	high	virus	6	23	30.06.2016	65	03.09.2016	1	82	19	0	0	NA	NA	NA	NA	NA	no	no	1	1
1136	56	H16C	high	control	5	23	30.06.2016	65	03.09.2016	1	68	16	0	0	NA	NA	NA	NA	NA	no	no	1	1
1137	57	H17V	high	virus	6	23	30.06.2016	65	03.09.2016	1	83	19	0	0	NA	NA	NA	NA	NA	no	no	1	1
1138	58	H18V	high	virus	6	23	30.06.2016	65	03.09.2016	1	0	1	0	0	NA	NA	NA	NA	NA	no	no	1	0
